id,full_name,student_id,email,address,city,zipcode,phone,age,university,category
1,Dante Howell,B5A3CF4D-72BD-92B1-37F5-E20FB6F3AA42,ac.fermentum.vel@sedfacilisis.org,3015 Suspendisse Ave,MabomprŽ,61974,1-439-879-0820,26,"University of California, Davis",Entrepreneurship
2,Grant Ellison,93CC1225-2776-0004-88C7-4B2B6B120A84,turpis.In.condimentum@nonenim.net,889-6495 Erat. Road,Vigo,27669,673-3247,24,"University of California, Davis",Network Security
3,Jonas Knight,A755D070-54BE-E531-8E19-F6DE655593BC,sit@semper.net,1857 In Avenue,Rio Verde,19498,1-104-408-3068,18,"California State University, Bakersfield",Web Development
4,Lyle Tyler,54D12C1C-FB4B-7581-CE58-F8168F53FDAA,Nullam.lobortis.quam@Duisacarcu.com,"P.O. Box 415, 7293 Vel, Rd.",Vandoeuvre-lès-Nancy,87249,425-9161,18,"University of California, Riverside",Web Development
5,Harrison Carey,62651842-B468-9D9E-F805-3F77A2DE9704,elit@Suspendisse.com,3264 Molestie Ave,Brussegem,59937,259-4968,30,"California State University, Fullerton",Web Development
6,Rigel Small,BB2A20E7-DD55-5A23-B0DF-36E75192EACD,non.cursus.non@dolor.com,572-5639 Phasellus Rd.,Schwäbisch Gmünd,67944,1-496-278-9122,22,"University of California, Riverside",Network Security
7,Alexander Holland,7D16F300-7545-9DFB-72EA-389840D2BB4B,pharetra.sed@Curabituregestasnunc.co.uk,Ap #839-9163 Fusce St.,Nevers,27141,356-4619,21,"University of California, Santa Cruz",Network Security
8,Lionel Dixon,256160EC-D376-C9A4-65EE-2AC754A80626,Donec@erosnec.ca,"Ap #889-5445 Vel, Ave",Kalken,31868,1-998-845-2764,30,"California State University, Fullerton",Entrepreneurship
9,Bernard Lindsay,47DF6654-81BF-D357-E777-FB64FE6CCBEF,arcu@pellentesque.com,525-6131 Elit Rd.,Uddevalla,31537,1-143-997-5338,21,San Jose State University,Embedded Software
10,Kevin Mclaughlin,33886FFF-04C6-1E68-C38E-3B9DC99CD93F,augue.porttitor.interdum@et.co.uk,7064 Lacus. Street,Belgrave,53775,975-7433,21,San Francisco State University,Machine Learning
11,Uriel Sampson,E388FFD4-EB8E-7F24-87F2-7BA46D44F124,euismod@sapien.net,9307 Et St.,Borgomasino,14867,1-729-820-6787,23,San Jose State University,Machine Learning
12,Lamar Sargent,3D8D1331-1878-DF5E-7963-42ED3EEB4127,Nunc@urnasuscipitnonummy.org,"P.O. Box 725, 8518 Consectetuer Av.",Etroubles,86145,1-404-978-9467,23,San Francisco State University,Embedded Software
13,Malachi Irwin,0B006B4D-7D6E-5EFE-FADD-477E7D1BCBDD,fermentum.vel@quisurnaNunc.com,6230 Dapibus Road,Sachs Harbour,75382,1-384-809-5565,17,"University of California, Davis",Network Security
14,Theodore Holland,57033276-1F3E-587B-536C-ECAC90AE3B8E,Ut.sagittis@Phasellusdapibus.net,8004 Lobortis. Rd.,Carleton,27181,959-7653,21,"California State University, Bakersfield",Network Security
15,Raymond Mayo,5A25C63B-0BE7-9A86-F6CC-F102A4F3D781,convallis.erat.eget@sempertellusid.net,634-5977 Eu Rd.,Hofheim am Taunus,46941,1-936-471-1478,21,"University of California, Santa Cruz",Network Security
16,Acton Avila,99E56EA9-FC71-4A19-EC15-13FC3C48360D,metus.Aliquam.erat@ornarefacilisiseget.ca,"6048 Sed, Street",Montemesola,47693,763-5951,27,"University of California, Riverside",Network Security
17,Emery Conner,2296AFED-8531-0EF6-223D-76B9A9538616,pellentesque.eget.dictum@nulla.com,896-1607 Fermentum Rd.,Colombo,45824,659-8421,20,San Francisco State University,Network Security
18,Hector Eaton,7FD38D3C-D6E7-350F-F969-B109ABBF5993,Phasellus.at.augue@Praesent.ca,Ap #239-5726 Egestas Av.,Chekhov,52096,379-4001,17,Stanford,Network Security
19,Vance Summers,38372422-4CA5-5748-ECDA-6C585D2F7A80,tempor.erat@metusurnaconvallis.co.uk,"P.O. Box 897, 3632 Enim. Rd.",San Diego,49026,1-624-631-1720,24,San Francisco State University,Web Development
20,Levi Hill,C11B40D1-34CE-DE4A-7D23-869CBF24A8B0,et@Suspendisse.edu,"P.O. Box 679, 5767 Lectus. Rd.",Bingen,15112,1-703-563-1019,19,"University of California, Davis",Embedded Software
21,Lucian Dominguez,EC72EEA6-DA19-75FA-AFEE-FD2C313A5926,risus.Nunc.ac@faucibusorci.ca,845-5968 Lectus Rd.,Alloa,59597,1-747-707-8488,22,"California State University, Bakersfield",Entrepreneurship
22,Jeremy Talley,B2DD84F4-5235-0F5F-FD59-34F6494CFA87,dui.nec.tempus@uterosnon.ca,"969-2888 Nunc, Rd.",Taunton,59559,1-984-740-7523,21,"University of California, Riverside",Web Development
23,Colby Combs,B201AF7D-656E-F134-69DA-C167842115B9,bibendum.fermentum.metus@auctorullamcorpernisl.net,3752 Justo. Ave,Gary,34730,768-5142,17,"University of California, Santa Cruz",Machine Learning
24,Brian Mendoza,B53690DA-EC30-765C-A9CD-8623B6E2583A,adipiscing.Mauris.molestie@vel.net,"785-8038 Scelerisque, Rd.",Canora,76455,1-314-709-3602,29,San Jose State University,Network Security
25,Ryan Tanner,56A7DE79-9B95-6D2F-3E0F-922A88423AA4,facilisis.vitae.orci@eusem.com,9890 Nam St.,Toruń,29080,1-817-656-7194,18,"University of California, Santa Cruz",Web Development
26,Colin Velez,8CC7668A-64AB-1BA3-7F4A-153718531E7E,lectus.convallis@utquam.ca,9172 Odio Av.,Villafranca in Lunigiana,10883,1-370-207-2182,29,San Jose State University,Embedded Software
